Step,AgentID,ID,Type,Zone,CurrentZone,SES,ThreatScore,CopingScore,Action,Influenced,EarlyEvacuated,SocialNetwork,Longitude,Latitude
0,53,53,agent,Randwyck,Randwyck,high,2.0,3.0,do_nothing,False,False,3,635032.5313932224,6591771.377346377
0,54,54,agent,Heugemerveld,Heugemerveld,high,4.5,3.5,mitigate,False,False,4,635713.3448597224,6593756.8500563605
0,55,55,agent,Randwyck,Randwyck,medium,3.25,5.0,mitigate,False,False,3,635171.877469783,6591765.34376616
0,56,56,agent,Heugemerveld,SafeZone,medium,5.0,1.0,evacuate,False,True,4,636925.6608681282,6592650.885974936
0,57,57,agent,Randwyck,Randwyck,medium,3.25,3.0,mitigate,False,False,3,634850.0402563125,6592326.817752946
0,58,58,agent,Randwyck,SafeZone,high,3.25,1.0,evacuate,False,True,3,637065.7089002769,6591830.993510208
0,59,59,agent,Randwyck,SafeZone,high,3.0,3.0,evacuate,False,True,3,637160.9561498557,6591682.190583155
0,60,60,agent,Heugem,SafeZone,medium,3.75,1.0,evacuate,False,True,3,636707.4351490884,6592047.878090138
0,61,61,agent,Heugem,Heugem,medium,4.25,3.0,mitigate,False,False,3,635454.9032003798,6591236.810550039
0,62,62,agent,Randwyck,Randwyck,high,2.0,3.0,do_nothing,False,False,3,635274.816095238,6591877.407289405
0,63,63,agent,Randwyck,Randwyck,high,2.0,3.0,do_nothing,False,False,3,634907.2263085749,6592093.70176958
0,64,64,agent,Randwyck,Randwyck,high,3.0,5.0,do_nothing,False,False,3,634996.4921472904,6591807.569813439
0,65,65,agent,Randwyck,Randwyck,high,2.0,5.0,do_nothing,False,False,3,634963.5496316125,6592048.5201038355
0,66,66,agent,Randwyck,Randwyck,medium,2.5,3.5,do_nothing,False,False,3,635035.832865905,6592405.98568457
0,67,67,agent,Heugemerveld,SafeZone,low,5.0,1.0,evacuate,False,True,4,637314.6274379326,6592312.462903856
0,68,68,agent,Heugemerveld,SafeZone,medium,5.0,1.0,evacuate,False,True,4,637329.5049857,6592491.563122579
0,69,69,agent,Heugemerveld,Heugemerveld,high,4.5,3.5,mitigate,False,False,4,635113.7931133882,6593160.885908257
0,70,70,agent,Randwyck,Randwyck,medium,3.25,5.0,mitigate,False,False,3,634912.4828816992,6592037.566280862
0,71,71,agent,Heugemerveld,SafeZone,medium,5.0,1.0,evacuate,False,True,4,637366.7894122638,6591715.983001363
0,72,72,agent,Randwyck,SafeZone,medium,3.25,3.0,evacuate,False,True,3,637277.8480862903,6592123.956619692
0,73,73,agent,Randwyck,SafeZone,high,3.25,1.0,evacuate,False,True,3,637306.1581906821,6592441.86329937
0,74,74,agent,Randwyck,SafeZone,high,3.0,3.0,evacuate,False,True,3,637352.9723500017,6592202.882561774
0,75,75,agent,Heugem,SafeZone,medium,3.75,1.0,evacuate,False,True,3,636680.496426112,6592041.449369786
0,76,76,agent,Heugem,SafeZone,medium,4.25,3.0,evacuate,False,True,3,637523.591975676,6591702.396235787
0,77,77,agent,Randwyck,Randwyck,high,2.0,3.0,do_nothing,False,False,3,635091.9422381691,6591711.205222969
0,78,78,agent,Randwyck,Randwyck,high,2.0,3.0,do_nothing,False,False,3,635156.2612429201,6592363.951764664
0,79,79,agent,Randwyck,Randwyck,high,3.0,5.0,mitigate,False,False,3,635162.7671684077,6592190.568513626
0,80,80,agent,Randwyck,Randwyck,high,2.0,5.0,do_nothing,False,False,3,635088.2508836115,6592346.151087288
0,81,81,agent,Randwyck,Randwyck,medium,2.5,3.5,do_nothing,False,False,3,635291.2876486082,6592191.730921143
0,82,82,agent,Heugemerveld,SafeZone,low,5.0,1.0,evacuate,False,True,4,637499.0268327435,6592097.241493759
0,83,83,agent,Heugemerveld,SafeZone,medium,5.0,1.0,evacuate,False,True,4,637145.4578059707,6591942.11441742
0,84,84,agent,Heugem,Heugem,high,4.75,4.0,mitigate,False,False,3,635370.0302015252,6591028.54745813
0,85,85,agent,Heugemerveld,Heugemerveld,medium,2.0,1.5,do_nothing,False,False,4,635091.7580073384,6593127.34439092
0,86,86,agent,Randwyck,Randwyck,high,2.0,1.5,do_nothing,False,False,3,635212.2895794436,6591766.005222387
0,87,87,agent,Randwyck,Randwyck,high,1.75,1.0,do_nothing,False,False,3,634925.8940051013,6591990.82624375
0,88,88,agent,Randwyck,Randwyck,medium,3.5,4.5,mitigate,False,False,3,634891.9093681902,6592308.578026973
0,89,89,agent,Heugemerveld,Heugemerveld,medium,2.0,1.5,do_nothing,False,False,4,634973.1140855876,6593478.337988407
0,90,90,agent,Heugem,SafeZone,medium,5.0,1.0,evacuate,False,True,3,637226.6726107282,6591863.071182302
0,91,91,agent,Heugemerveld,Heugemerveld,medium,2.0,1.5,do_nothing,False,False,4,635194.8167723715,6593859.992025252
0,92,92,agent,Randwyck,Randwyck,high,2.0,1.5,do_nothing,False,False,3,635295.670008131,6592244.288099976
0,93,93,agent,Randwyck,Randwyck,high,1.75,1.0,do_nothing,False,False,3,634981.4841810158,6592193.943152261
0,94,94,agent,Randwyck,Randwyck,medium,3.5,4.5,mitigate,False,False,3,635153.4954255307,6592347.631730488
0,95,95,agent,Heugem,SafeZone,medium,5.0,1.0,evacuate,False,True,3,636874.2963340334,6592099.125052604
0,96,96,agent,Heugemerveld,SafeZone,medium,5.0,1.0,evacuate,False,True,4,636993.8912196816,6592032.517727926
0,97,97,agent,Heugemerveld,SafeZone,high,4.25,2.5,evacuate,False,True,4,637533.0648604305,6591671.775904561
0,98,98,agent,Heugemerveld,SafeZone,medium,3.0,2.0,evacuate,False,True,4,637445.3849853599,6592467.549892731
0,99,99,agent,Heugemerveld,SafeZone,medium,5.0,3.0,evacuate,False,True,4,637197.2198280152,6592469.279213929
